"Photo","رەسىم"
"photo album","سۈرەت ئالبومى"
"Photo Gallery","سۈرەت ئامبىرى"
"photo loop","سۈرەت ئايلانمىسى"
"photo mix","سۈرەت ئارىلاشتۇرۇش"
"Photos","سۈرەتلەر"
"Photos Companion (Preview)","Photos Companion (Preview)"
"Photos Companion Preview","Photos Companion Preview"
"photo sharing","رەسىم ئورتاقلىشىش"
"Photos Preview","رەسىم كۆرۈش"
"Photos & Videos","رەسىملەر ۋە سىنلار"
"Photo & video","رەسىم ۋە سىن"
"Photo & video production","رەسىم ۋە سىن ئىشلەش"
"Photo Viewer","سۈرەت كۆرگۈچ"
"pica","pica"
"Picks for you","تەۋسىيە"
"Picture","رەسىم"
"picture","رەسىم"
"Picture Accent List","رەسىمنىڭ رەڭ تىزىملىكى"
"Picture Accent Process","رەسىمنىڭ رەڭ سىخېمىسى"
"picture button","رەسىم كۇنۇپكىسى"
"Picture Caption List","رەسىم تېمىسى تىزىملىكى"
"picture content","رەسىملىك مەزمۇن"
"Picture Dictionary","رەسىملىك لۇغەت"
"picture element","رەسىم ئېلېمېنتى"
"picture frame","رەسىم رامكىسى"
"picture password","رەسىملىك پارول"
"picture placeholder","رەسىم بوش ئورنى"
"Picture Presentation","رەسىملىك كۆرۈنۈش"
"Pictures","رەسىملەر"
"Picture Styles","رەسىم ئۇسلۇبلىرى"
"pie chart","يۇملاق گرافىك"
"pie of pie chart","يۇمىلاق سېخىما ھالقىسى"
"PII","PII"
"piid","ھەق تاپشۇرۇش قورالىنىڭ كىملىكى"
"pile","توپلام"
"PIN","PIN"
"pin","مىخلىماق"
"pinch","تارايتماق"
"PIN code","PIN كودى"
"PIN sign-in","PIN تىزىملاپ كىرىش"
"pin to Start","«باشلاش» قا مىخلاش"
"Pin to top","ئۈستىگە مىخلاش"
"pivot area","Pivot رايونى"
"PivotChart category field","PivotChart كەتېگۈرېېا سەترې"
"PivotChart report","PivotChart ھېساباتې"
"PivotChart series field","PivotChart سېرېالار سەترې"
"PivotChart view","PivotChart كۆرۈنۈشى"
"PivotDiagram","PivotDiagram"
"PivotTable","PivotTable"
"PivotTable data","PivotTable مەلوماتې"
"PivotTable grand totals","PivotTable ئومومېې ژېغېندې"
"PivotTable list","PivotTable سپېسكېسې"
"PivotTable report","PivotTable ھېساباتې"
"PivotTable subtotal","PivotTable ېېرېم ژېغېن"
"PivotTable view","PivotTable كورونېشې"
"pixel","پىكسېل"
"PixelSense","PixelSense"
"PKC","PKC"
"placeholder","تولدۇرۇلما"
"placeholder text","ئورۇن بەلگىسى تېكىستى"
"Places","ئورۇن تاللىغۇچ"
"Places Bar","ئورۇن كۆزنىكى"
"plain text","ساپ تېكىست"
"plan","پىلان"
"planar projection","تەكشىلىك تەسۋىرى"
"Planner","Planner"
"Plan Your Day","كۈنىڭىزنى پىلانلاش"
"platformer","ئۆتكەللىك"
"play","قويماق"
"playback","قايتا قويۇش"
"player","قويغۇچى"
"playlist","قويۇش تىزىمى"
"Play To","قويماق"
"plot area","سىزىش رايونى"
"plug-in","قوشۇلما"
"PNG","PNG"
"Pocket PC","يانچۇق كومپيۇتېرى"
"Poetry","شېئىرلار"
"point","نومۇر"
"pointer","ئىسترېلكا"
"pointing device","كۆرسەتكۈچ ئۈسكۈنە"
"point-of-sale activation","سېتىش نۇقتىسىدا ئاكتىپلاش"
"policy","تۈزۈم"
"policy tip","تۈزۈم كۆرسەتمىسى"
"Policy Tips","تۈزۈم كۆرسەتمىلىرى"
"polynomial trendline","كۆپ ئەزالىق يۈزلىنىش سىزىقى"
"PO number","بۇيرۇتما نومۇرى"
"POP","POP"
"Popular","داڭلىق"
"Popular artists","داڭلىق سەنئەتكارلار"
"Popular movies","داڭلىق كىنولار"
"Popular music","داڭلىق مۇزىكىلار"
"Popular on Xbox","Xbox دىكى داڭلىقلار"
"Popular shows","داڭلىق تىياتىرلار"
"Popular stations","داڭلىق ئىستانسالار"
"pop-up menu","لەيلىمە تىزىملىك"
"pop-up window","قاڭقىما كۆزنەك"
"port","ئېغىز"
"portal","شىركەت"
"portfolio","تۈر توپلىمى"
"portrait","تار يۆنىلىش"
"Portrait","رەسىم"
"portrait orientation","تىك بويىغا يۆنىلىش"
"POSA","سېتىش نۇقتىسىدا ئاكتىپلاش(POSA)"
"positioning","قويۇش"
"post","يازماق"
"postal code","پوچتا نومۇرى"
"Post Bill and AR adjustments","جەمئىي سومما ۋە AR تەڭشىكى"
"poster frame","تەشۋىقات رەسىمى"
"Poster Frame","تەشۋىقات رەسىمى"
"post grades","نەتىجىنى ئېلان قىلىش"
"post-incident report","հետմիջադեպային զեկույց"
"postmaster","پوچتاليون"
"postmaster@mail.hotmail.com","postmaster@mail.hotmail.com"
"postmaster@windowslivemail.com","postmaster@windowslivemail.com"
"Post Office Protocol","پوچتا كېلىشىمى"
"Power","توك مەنبەسى"
"power","كۈچ"
"PowerApps","كۈچەيتمە ئەپ"
"powered by","تەمىنلىگۈچى"
"powered by Windows Live","Windows Live تەييارلىدى"
"Power Options","توك مەنبە تاللانمىلىرى"
"PowerPC","PowerPC"
"power plan","توك مەنبە پىلانى"
"PowerPoint","PowerPoint"
"PowerPoint add-in","PowerPoint قىستۇرمىسى"
"PowerPoint Designer","PowerPoint Designer"
"PowerPoint Mobile Viewer","PowerPoint Mobile Viewer"
"PowerPoint Previewer","PowerPoint كۆرۈپ بېقىش"
"PowerPoint render","PowerPoint كۆرسەتكۈچى"
"PowerPoint static","PowerPoint تۇرغۇن كۆرۈنۈش"
"PowerPoint Viewing","PowerPoint ھۆججىتىنى كۆرۈش"
"power scheme","باتارېيە لايىھەسى"
"PowerShell Core","PowerShell Core"
"power trendline","كۈچەيتىش سىزىقى"
"Power View","Power View"
"Praise","مەدھىيەلەش"
"pre-boot","ئالدىن قوزغىلىش"
"precedent","ئۆرنەك"
"precision touchpad","نەپىس سەزمە تاختا"
"predefined bookmark","تەييار خەتكۈچ"
"preferred data location","مايىل مەلۇمات ئورنى"
"preload","يۈكلەپ بېقىش"
"Premium","Premium"
"Premium account","Premium ھېساباتى"
"pre-order","ئالدىن بۇيرۇتۇش"
"Pre-orders","ئالدىن زاكازلار"
"prepaid card","ئالدىن تۆلەش كارتىسى"
"Prepare","تەييارلىماق"
"prepopulation","كىرگۈزۈپ بېقىش"
"presentation","كۆرۈنۈش"
"presentation broadcast","قويۇش"
"presentation-level guide","كۆرسىتىش يېتەكچىسى"
"presentation package","كۆرۈنۈش بولىقى"
"presentation section","كۆرۈنۈش بۆلىكى"
"Presenter View","تىزگىنلىك كۆرۈش"
"Present Online","توردا كۆرسىتىش"
"preservation hold library","ئەسلى نۇسخا ئارخىپخانىسى"
"Preservation Lock","قوغداش قۇلۇپى"
"press and hold","بېسىپ تۇرۇش"
"preview","كۆرۈپ بېقىش"
"preview bar","كۆرەك بالدىقى"
"previewer","كۆرگۈچ"
"preview pane","كۆرۈپ بېقىش رامكىسى"
"PRF","PRF"
"price tier","باھا قەۋىتى"
"primary calendar","باش كالېندار"
"primary key","باش ئاچقۇچ"
"primary mouse button","باش مائۇس كۇنۇپكىسى"
"primary table","باش جەدۋەل"
"primordial pool","ئەسلىي كۆلچەك"
"print area","بېسىش دائىرىسى"
"print device","بېسىش ئۈسكۈنىسى"
"printer","پىرىنتېر"
"printer driver","پىرىنتېر قوزغىتىش پىروگراممىسى"
"Printing and Imaging Devices","بېسىش ۋە سۈرەتكە تارتىش ئۈسكۈنىسى"
"print preview","بېسىشنى ئالدىن كۆرۈش"
"PRINT SCREEN key","PRINT SCREEN كۇنۇپكىسى"
"print style","بېسىش ئۇسلۇبى"
"print titles","باسما تېمىسى"
"Print to OneNote","OneNote قا مىخلاش"
"Print to Web","تورغا بېسىش"
"privacy","مەخپىيەتلىك"
"Privacy and cookies","مەخپىيەتلىك ۋە ساقلانمىلار"
"Privacy & cookies","مەخپىيەتلىك ۋە ساقلانمىلار"
"Privacy Policy","مەخپىيەتلىك بەلگىلىمىسى"
"privacy settings","مەخپىيەتلىك تەڭشەكلىرى"
"privacy statement","مەخپىيەتلىك بايانى"
"private","خۇسۇسىي"
"private chat","شەخسىي سۆھبەت"
"private store","شەخسىي دۇكان"
"Proactive Scanner","ئاكتىپ تەكشۈرگۈچ"
"procedure","جەريان"
"Process","جەريان"
"Process Arrows","جەريان كۆرسەتكۈچى"
"processing instructions","مەشغۇلات كۆرسەتمىلىرى"
"Process List","جەريان تىزىملىكى"
"processor","بىر تەرەپ قىلغۇچ"
"product","مەھسۇلات"
"product and service performance data","مەھسۇلات ۋە مۇلازىمەتنىڭ يۈرۈش مەلۇماتى"
"product and service usage data","مەھسۇلات ۋە مۇلازىمەت ئىشلىتىش مەلۇماتى"
"Product Catalog","مەھسۇلات كاتالوگى"
"Productivity","ئۈنۈم"
"product key","مەھسۇلات ئاچقۇچى"
"professional format","كەسپىي فورمات"
"Profile","ئارخىپ"
"profile","ئارخىپ"
"profile card","ئارخىپ كارتىسى"
"profile path","ئارخىپ يولى"
"ProgID","ProgID"
"program","پىروگرامما"
"programmatic identifier","پىروگىراممىلىق پەرقلەندۈرگۈچ"
"programming language","پىروگرامما تىلى"
"Progress UI","ئىلگىرىلەش يۈزى"
"project","كۆرسىتىش"
"Project management","تۈر باشقۇرۇش"
"Project Site","Project Site"
"Project Site Sync","Project Site Sync"
"project team","تۈر گۇرۇپپىسى"
"Project Web App","Project تور ئەپى"
"promote","كۆتۈرۈش"
"promotional image","تەشۋىقات رەسىمى"
"prompt","ئەسكەرتمە"
"prompt tone","قوڭغۇراق"
"proofing tools","ئىملا قوراللىرى"
"Properties","خاسلىقلار"
"property","خاسلىق"
"Property Editor","خاسلىق تەھرىرلىگۈچ"
"property fields","خاسلىق ئورنى"
"property page","خاسلىق بىتى"
"property promotion","خاسلىق ئاشۇرۇش"
"property sheet","خاسلىق جەدۋىلى"
"protect","قوغدىماق"
"Protected View","بىخەتەر كۆرۈش"
"protection level","بىخەتەرلىك دەرىجىسى"
"protocol","كېلىشىم"
"provider","تەمىنلىگۈچى"
"provision","تەڭشىمەك"
"provisioning package","سەپلىمە بولىقى"
"proximity","يېقىنلىق"
"proximity sensor","يېقىنلىق سەزگۈچ"
"proxy server","ۋاكالەتچى مۇلازىمىتېر"
".pst",".pst"
"PST import","PST ھۆججەت ئەكىرىش"
"publication","تارقىتىلما"
"public chat","ئاممىۋى پاراڭ"
"public-facing URL","ئاممىۋىي URL"
"public folder","ئاممىۋىي ھۆججەتدان"
"public group","ئاممىۋىي گۇرۇپپا"
"public IM","ئاممىۋى IM"
"publish","يوللاش"
"publisher","تارقاتقۇچى"
"Publisher","Publisher"
"publishing","تارقىتىش"
"Publish to Docs.com","Docs.com دا ئېلان قىلىش"
"pull quote","نەقىل"
"punch card","نىشان كارتىسى"
"Punctuation Conventions","تىنىش بەلگىلىرى قائىدىسى"
"purchase after trial","سىناپ سېتىۋالماق"
"purchase at download","سېتىۋېلىپ چۈشۈرمەك"
"purchaseid","سېتىۋېلىش كودى"
"purchaser","سېتىۋالغۇچى"
"Pure","ساپ"
"push button","كۇنۇپكا"
"push-button reset","بىر كۇنۇپكىدىن قايتا تەڭشەش"
"Puzzle & trivia","چاپراس"
"Pyramid","پىرامىدا"
"pyramid chart","پىرامىدا گىرافىك"
"pyramid diagram","پىرامىدا دىئاگرامما"
"Pyramid List","پىرامىدا تىزىملىك"
"QST","QST"
"quad","تۆت"
"quadratic formula","كىۋادىراتلىق فورمۇلا"
"qualifying product","لاياقەتلىك مەھسۇلات"
"quality","سۈپەت"
"quality-of-service indicator","مۇلازىمەت سۈپىتى كۆرسەتكۈچى"
"quality update","سۈپەت يېڭىلانمىسى"
"query","سۈرۈشتۈرمە"
"queryable managed property","سۈرۈشتۈرگىلى بولىدىغان خاسلىق"
"query design","سۈرۈشتە لايھەسى"
"query field","ئىزدەش بۆلىكى"
"query rule","سۈرۈشتۈرۈش قائىدىسى"
"Query window","كۆرسەتمە كۆزنىكى"
"quest","ئىلتىماس"
"question mark","سوئال بەلگىسى"
"question-mark pointer","سوئال بەلگىسى"
"queue","تەرتىپ"
"Quick access","تېز كىرىش"
"Quick Access Toolbar","تېز كۆر قورالبالدىقى"
"quick action","تېز مەشغۇلات"
"Quick add","تېز قوشۇش"
"Quick Analysis","تېز ئانالىز"
"Quick Assist","تېز ياردەم"
"Quick Click category","دائىملىق تۈر"
"Quick Click flag","تېز چەكمە تۇغى"
"Quick Commands Toolbar","تېز بۇيرۇق قورالبالدىقى"
"Quick Contacts","دائىملىق ئادرېسلار"
"Quick Edit","تېز تەھرىرلەش"
"Quick Explore","تېز كۆرۈش"
"Quick Filter","تېز سۈزگۈچ"
"Quick Filters","تېز سۈزگۈچلەر"
"Quick Filters for message list","خەت تىزىملىكىنىڭ تېز سۈزگۈچلىرى"
"Quick Notes","تېز يازما"
"Quick Parts","دائىملىق قوراللار"
"Quick Parts gallery","دائىملىق قوراللار توپلىمى"
"quick play","تېز قويۇش"
"Quick Preview","تېز نەزەر"
"Quick Rules","تېز قائىدىلەر"
"Quick start","تېز قوزغىتىش"
"QuickStarter","تېز قوزغاتقۇچ"
"Quick Steps","تېز كىرىش"
"Quick Styles","دائىملىق ئۇسلۇب"
"Quick Style set","دائىملىق ئۇسلۇب لايھەسى"
"Quick suggestions","تېز تەۋسىيە"
"Quick Tabs","تېز بەتكۈشلەر"
"Quick Tag Tree","دائىملىق خەتكۈچلەر"
"QuickTime","QuickTime"
"Quiet","تىنچ"
"quiet day","تىنچ كۈن"
"Quiet days","تىنچ كۈن"
"Racing & flying","مۇسابىقە ۋە ئۇچۇش"
"radar chart","رادار گىرافىك"
"Radial Cycle","رادىيوسلۇق ھالقا"
"radial diagram","رادىيوسلۇق دىئاگرامما"
"Radial List","رادىيوسلۇق تىزىملىك"
"radial menu","چەمبەر تىزىملىك"
"Radial Venn","رادىيوسلۇق ئۆتۈشمە"
"radical","يىلتىز"
"radical with degree","دەرىجىلىك يىلتىز"
"Radio","رادىيو"
"radio button","يۇمىلاق كۇنۇپكا"
"rainbow","ھەسەن-ھۈسەن"
"RAM","RAM"
"RANDARRAY","ئۆزقاتار"
"range name","قاتار نامى"
"ranking model","دەرىجە مودېلى"
"Ransomware data recovery","‏‏قاراقچى دېتال مەلۇماتىنى ئەسلىگە كەلتۈرۈش"
"Ransomware protection","‏‏قاراقچى دېتالىنى قوغداش"
"rating","دەرىجە"
"Ratings and reviews","باھا ۋە ئىنكاسلار"
"raw notification","دەسلەپكى ئۇقتۇرۇش"
"RDF Site Summary","RDF بېكەت خۇلاسىسى"
"RDMA","RDMA"
"Readability Statistics","ئوقۇشچانلىق سىتاتىستىكىسى"
"read aloud","ئۈنلۈك ئوقۇش"
